Experiment No.,Speed,True Class,Detected Height,Detected Class
300.0,122.0,0.0,60.0,3.0
301.0,62.3,0.0,63.0,3.0
302.0,62.3,0.0,65.0,3.0
303.0,62.3,0.0,63.0,3.0
304.0,62.3,0.0,66.0,3.0
305.0,62.3,0.0,66.0,3.0
306.0,62.3,0.0,67.0,3.0
307.0,62.3,0.0,65.0,3.0
308.0,62.3,0.0,69.0,3.0
309.0,62.3,0.0,68.0,3.0
310.0,62.3,0.0,65.0,3.0
311.0,95.7,0.0,70.0,3.0
312.0,95.7,0.0,64.0,3.0
313.0,95.7,0.0,68.0,3.0
314.0,95.7,0.0,61.0,3.0
315.0,95.7,0.0,59.0,3.0
316.0,95.7,0.0,63.0,3.0
317.0,95.7,0.0,61.0,3.0
318.0,95.7,0.0,63.0,3.0
319.0,95.7,0.0,60.0,3.0
320.0,95.7,0.0,66.0,3.0
321.0,122.0,0.0,61.0,3.0
322.0,122.0,0.0,65.0,3.0
323.0,122.0,0.0,65.0,3.0
324.0,122.0,0.0,65.0,3.0
325.0,122.0,0.0,63.0,3.0
326.0,122.0,0.0,62.0,3.0
327.0,122.0,0.0,63.0,3.0
328.0,122.0,0.0,63.0,3.0
329.0,122.0,0.0,61.0,3.0
330.0,122.0,0.0,64.0,3.0
331.0,62.3,0.0,64.0,3.0
332.0,62.3,0.0,65.0,3.0
333.0,62.3,0.0,67.0,3.0
334.0,62.3,0.0,65.0,3.0
335.0,62.3,0.0,66.0,3.0
336.0,62.3,0.0,70.0,3.0
337.0,62.3,0.0,66.0,3.0
338.0,62.3,0.0,67.0,3.0
339.0,62.3,0.0,69.0,3.0
340.0,62.3,0.0,67.0,3.0
341.0,95.7,0.0,66.0,3.0
342.0,95.7,0.0,66.0,3.0
343.0,95.7,0.0,69.0,3.0
344.0,95.7,0.0,67.0,3.0
345.0,95.7,0.0,69.0,3.0
346.0,95.7,0.0,71.0,3.0
347.0,95.7,0.0,68.0,3.0
348.0,95.7,0.0,67.0,3.0
349.0,95.7,0.0,66.0,3.0
350.0,95.7,0.0,68.0,3.0
351.0,122.0,0.0,69.0,3.0
352.0,122.0,0.0,69.0,3.0
353.0,122.0,0.0,69.0,3.0
354.0,122.0,0.0,71.0,3.0
355.0,122.0,0.0,71.0,3.0
356.0,122.0,0.0,71.0,3.0
357.0,122.0,0.0,71.0,3.0
358.0,122.0,0.0,73.0,3.0
359.0,122.0,0.0,66.0,3.0
360.0,122.0,0.0,68.0,3.0
